request_id,created_at,status_code,time_to_first_token,time_to_completion,model,api_key_id,project_id,input_tokens,input_non_cached_tokens,input_cached_tokens,input_audio_seconds,output_tokens
req_01ks77m9e2ef6rma7f93073gy0,1779433088450,200,0.541095,0.588685,llama-3.3-70b-versatile,key_01ks5bybb9e79sbwnbfq7w4r90,project_01ks5bxh7wfyt8vj4gs8hm9why,2054,2054,0,0,14
req_01ks77jza9ebqs4z3jftdb0mr2,1779433045321,200,1.5809980000000001,1.5915430000000002,llama-3.3-70b-versatile,key_01ks5bybb9e79sbwnbfq7w4r90,project_01ks5bxh7wfyt8vj4gs8hm9why,1330,1330,0,0,14
req_01ks5eraweemhv3ydyhmbhvym6,1779373452174,200,0.258481,2.860483,llama-3.3-70b-versatile,key_01ks5bybb9e79sbwnbfq7w4r90,project_01ks5bxh7wfyt8vj4gs8hm9why,1829,1829,0,0,992
req_01ks5eqzxted9a7nx7htgcq8er,1779373440954,200,0.525508,3.2319430000000002,llama-3.3-70b-versatile,key_01ks5bybb9e79sbwnbfq7w4r90,project_01ks5bxh7wfyt8vj4gs8hm9why,883,883,0,0,1024
req_01ks5en2f9e859e076725jc2vk,1779373345257,200,0.340312,2.203466,llama-3.3-70b-versatile,key_01ks5bybb9e79sbwnbfq7w4r90,project_01ks5bxh7wfyt8vj4gs8hm9why,1771,1771,0,0,698
req_01ks5ekd7vebe9f5sq8thbaymy,1779373290747,200,0.188462,0.753594,llama-3.3-70b-versatile,key_01ks5bybb9e79sbwnbfq7w4r90,project_01ks5bxh7wfyt8vj4gs8hm9why,462,462,0,0,410
req_01ks5ekb8yf0brqn3wc9zqx89t,1779373288734,200,0.632624,1.860668,llama-3.3-70b-versatile,key_01ks5bybb9e79sbwnbfq7w4r90,project_01ks5bxh7wfyt8vj4gs8hm9why,2577,2577,0,0,410
req_01ks5efkh9fz4bagvbhp3rbqk8,1779373166121,200,0.072709,0.473888,llama-3.3-70b-versatile,key_01ks5bybb9e79sbwnbfq7w4r90,project_01ks5bxh7wfyt8vj4gs8hm9why,287,287,0,0,235
req_01ks5efj1ve4trv3hb7jevr4em,1779373164603,200,0.412081,1.067293,llama-3.3-70b-versatile,key_01ks5bybb9e79sbwnbfq7w4r90,project_01ks5bxh7wfyt8vj4gs8hm9why,3109,3109,0,0,235
req_01ks5ef2c2fyascfcvqtyn50dn,1779373148546,200,0.218566,0.730606,llama-3.3-70b-versatile,key_01ks5bybb9e79sbwnbfq7w4r90,project_01ks5bxh7wfyt8vj4gs8hm9why,1736,1736,0,0,207
req_01ks5ecnjfft0vsytf9e4hhd43,1779373069903,200,0.449254,1.07258,llama-3.3-70b-versatile,key_01ks5bybb9e79sbwnbfq7w4r90,project_01ks5bxh7wfyt8vj4gs8hm9why,1442,1442,0,0,252
req_01ks5e956rfk8t0de73qgs7v6x,1779372954840,200,0.065732,0.173695,llama-3.3-70b-versatile,key_01ks5bybb9e79sbwnbfq7w4r90,project_01ks5bxh7wfyt8vj4gs8hm9why,66,66,0,0,41
req_01ks5e9513e8vtsd0chftynkd5,1779372954659,200,0.110531,0.122322,llama-3.3-70b-versatile,key_01ks5bybb9e79sbwnbfq7w4r90,project_01ks5bxh7wfyt8vj4gs8hm9why,999,999,0,0,14
req_01ks5e49b9f8qbr47f2gygj6x5,1779372795241,200,0.226029,0.776366,llama-3.3-70b-versatile,key_01ks5bybb9e79sbwnbfq7w4r90,project_01ks5bxh7wfyt8vj4gs8hm9why,1170,1170,0,0,228
req_01ks5e21brf49r9jjeydmhkmtk,1779372721528,200,0.411467,0.963756,llama-3.3-70b-versatile,key_01ks5bybb9e79sbwnbfq7w4r90,project_01ks5bxh7wfyt8vj4gs8hm9why,1084,1084,0,0,223
req_01ks5e0363ffhsns5w4t056dtw,1779372657859,200,0.298025,0.764955,llama-3.3-70b-versatile,key_01ks5bybb9e79sbwnbfq7w4r90,project_01ks5bxh7wfyt8vj4gs8hm9why,1336,1336,0,0,192
req_01ks5dt802esnrqba2k0dftkg1,1779372466178,200,0.286236,1.021409,llama-3.3-70b-versatile,key_01ks5bybb9e79sbwnbfq7w4r90,project_01ks5bxh7wfyt8vj4gs8hm9why,879,879,0,0,226
req_01ks5dp2v3ejrrwvk9z0565vs6,1779372329827,200,0.241837,0.268387,llama-3.3-70b-versatile,key_01ks5bybb9e79sbwnbfq7w4r90,project_01ks5bxh7wfyt8vj4gs8hm9why,724,724,0,0,18
req_01ks5dccvnfrtsby4ezpv656rx,1779372012405,200,1.842669,2.378117,llama-3.3-70b-versatile,key_01ks5bybb9e79sbwnbfq7w4r90,project_01ks5bxh7wfyt8vj4gs8hm9why,1139,1139,0,0,237
req_01ks5d91chfafstadta09a1ss0,1779371902353,200,0.118029,0.319125,llama-3.3-70b-versatile,key_01ks5bybb9e79sbwnbfq7w4r90,project_01ks5bxh7wfyt8vj4gs8hm9why,900,900,0,0,65
req_01ks5cdhbnf57t2qe3wnhp3d75,1779371001205,200,0.345529,0.349579,llama-3.3-70b-versatile,key_01ks5bybb9e79sbwnbfq7w4r90,project_01ks5bxh7wfyt8vj4gs8hm9why,41,41,0,0,3
req_01ks5c7vscexvs46j7jq56vwze,1779370815276,400,0,0.001528,llama3-8b-8192,key_01ks5bybb9e79sbwnbfq7w4r90,project_01ks5bxh7wfyt8vj4gs8hm9why,0,0,0,0,0,"{\"code\":\"model_decommissioned\",\"message\":\"The model `llama3-8b-8192` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on which model to use instead.\",\"param\":\"\",\"type\":\"invalid_request_error\"}"
req_01ks5c7snxeq58w2qtzvsv221k,1779370813117,400,0,0.001821,llama3-8b-8192,key_01ks5bybb9e79sbwnbfq7w4r90,project_01ks5bxh7wfyt8vj4gs8hm9why,0,0,0,0,0,"{\"code\":\"model_decommissioned\",\"message\":\"The model `llama3-8b-8192` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on which model to use instead.\",\"param\":\"\",\"type\":\"invalid_request_error\"}"
req_01ks5c7rg7fyxbwa9k6ssbwp07,1779370811911,400,0,0.002969,llama3-8b-8192,key_01ks5bybb9e79sbwnbfq7w4r90,project_01ks5bxh7wfyt8vj4gs8hm9why,0,0,0,0,0,"{\"code\":\"model_decommissioned\",\"message\":\"The model `llama3-8b-8192` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on which model to use instead.\",\"param\":\"\",\"type\":\"invalid_request_error\"}"
